Source,Target,Weight,Raw distance
BGC0000664.1,BGC0001227.1,0.4578229188919067,0.32337385416030884
BGC0000166.1,BGC0001298.1,0.18818141520023346,0.5662012100219727
BGC0000201.1,BGC0001904.1,0.16026633977890015,0.5996671915054321
BGC0000125.1,BGC0000149.1,0.16750472784042358,0.5907265543937683
BGC0001895.1,BGC0002000.1,0.30404797196388245,0.4485945403575897
BGC0000124.1,BGC0001046.1,0.1707870215177536,0.5867361426353455
BGC0000215.1,BGC0001062.1,0.23273912072181704,0.5175695419311523
BGC0000018.1,BGC0001169.1,0.2966262996196747,0.4553658962249756
BGC0000116.1,BGC0002032.1,0.1942732334136963,0.5592356324195862
BGC0000157.1,BGC0001648.1,0.19796626269817352,0.5550659894943237
BGC0000029.1,BGC0001770.1,0.1872655004262924,0.5672581791877747
BGC0000074.1,BGC0001511.1,0.1606261134147644,0.5992181301116943
BGC0000167.1,BGC0001200.1,0.16024473309516907,0.5996941924095154
BGC0000113.1,BGC0001169.1,0.26710718870162964,0.4831758737564087
BGC0000210.1,BGC0000246.1,0.2144673615694046,0.5368937849998474
BGC0000086.1,BGC0001690.1,0.1603780835866928,0.5995276570320129
BGC0000228.1,BGC0000231.1,0.2858234643936157,0.4653753936290741
BGC0000067.1,BGC0001195.1,0.1614164412021637,0.5982333421707153
BGC0000067.1,BGC0000123.1,0.18777631223201752,0.5666683912277222
BGC0001522.1,NZ_JNXG01000009.region001,0.6727358102798462,0.1797952502965927
BGC0000035.1,BGC0000102.1,0.3074483573436737,0.445519745349884
BGC0000050.1,BGC0001908.1,0.21991370618343356,0.5310504436492921
BGC0001596.1,BGC0002000.1,0.17466846108436584,0.5820664167404175
BGC0001477.1,BGC0001709.1,0.22580347955226895,0.5248121619224548
BGC0000103.1,BGC0001012.1,0.17416530847549438,0.5826688408851624
BGC0001169.1,BGC0001495.1,0.17452338337898254,0.5822400450706482
BGC0000059.1,BGC0001477.1,0.17851877212524414,0.577485203742981
BGC0000228.1,BGC0001438.1,0.3391062319278717,0.41767171025276173
BGC0000223.1,BGC0001723.1,0.4879213273525238,0.3014863431453705
BGC0000142.1,BGC0001828.1,0.17613272368907928,0.5803183317184448
BGC0000073.1,BGC0000105.1,0.16629870235919952,0.5922026038169861
BGC0000211.1,BGC0002016.1,0.1690072864294052,0.5888950228691101
BGC0000126.1,BGC0000989.1,0.16206873953342438,0.5974223613739014
BGC0000215.1,BGC0000272.1,0.4007647633552551,0.3669401705265045
BGC0000065.1,NZ_JNXG01000006.region001,0.35507750511169434,0.4041162133216858
BGC0000126.1,BGC0001051.1,0.1880263090133667,0.5663800239562988
BGC0000248.1,BGC0001661.1,0.2382286936044693,0.5119132399559021
BGC0000117.1,BGC0001447.1,0.22354234755039212,0.5271973609924316
BGC0001690.1,BGC0001773.1,0.20577707886695865,0.5463734269142151
BGC0000050.1,BGC0000989.1,0.18818292021751404,0.5661994814872742
BGC0000060.1,BGC0000113.1,0.1727209985256195,0.584402859210968
BGC0000231.1,BGC0000234.1,0.5603436231613159,0.2514389753341675
BGC0000028.1,BGC0000086.1,0.20039421319961548,0.552345871925354
BGC0000018.1,BGC0001828.1,0.17660769820213318,0.5797528028488159
BGC0000036.1,BGC0000082.1,0.2036455124616623,0.5487290024757385
